Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
O94925	GLS	-	Amino acid metabolism	1										81.7977536	112.1679464	Class 3	-0.43616827	0.003598922	191426.432	165028.6667	Peripheral	17.16366749	96.15544881
Q9UI32	GLS2	-	Amino acid metabolism	1										NaN	NaN	NaN	NaN	NaN	10143.37764	3760.286667	Peripheral	15.60424865	91.14754116
P49448	GLUD2	-	Amino acid metabolism	1										NaN	546.6566062	NaN	NaN	NaN	0	0	0	0	0
Q6IB77	GLYAT	-	Other known processes	1										NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
Q9H4A6	GOLPH3	-	Other known processes	1										27.74622773	291.6568857	Class 4	-0.242120709	0.119855107	10046.95174	168760.6667	Peripheral	31.38986141	88.02235679
Q9HCL2	GPAM	-	Cardiolipin biosynthesis & remodeling	1										31.1812049	NaN	Class 1	-1.016960456	0.000462764	9217.873986	10024.63333	Ambiguous	75.192493	85.51334749
Q6NUI2	GPAT2	-	Cardiolipin biosynthesis & remodeling	1										NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
P43304	GPD2	-	Carbohydrate & energy metabolism	1										155.4330141	209.5226672	Class 1	-0.946024834	0.000684377	267300.0219	246273.6667	Integral	88.547423	94.44511726
P07203	GPX1	-	Oxidative stress response	1										Infinite	NaN	Class 1	-2.306761219	5.84216E-05	166465.8006	216226	Ambiguous	29.14156035	60.58697439
Q9HAV7	GRPEL1	-	Protein import & biogenesis	1										97.51536461	230.769616	Class 1	-1.369191469	0.000735578	812296.1701	825134.3333	Peripheral	2.830720807	70.64398405
Q8TAA5	GRPEL2	-	Protein import & biogenesis	1										12.41231759	19.59562961	Class 4	-0.472037964	0.008532832	159482.9757	153177.5667	Peripheral	9.979944247	87.31027667
Q12849;Q12849	GRSF1	-	Ribosome assembly & translation	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P00390;P00390	GSR	-	Oxidative stress response	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9Y2Q3	GSTK1	-	Oxidative stress response	1										283.81168	NaN	Class 2	-0.990132347	0.010399342	277755.3437	377830	Peripheral	5.950880189	92.29669572
A4D1E9	GTPBP10	-	Unknown	1										41.21140091	NaN	Class 1	-2.23903847	6.93937E-05	259656.9374	239791.3333	Peripheral	15.87247099	91.40295871
O43824	GTPBP6	-	Unknown	1										41.4980665	21.51715512	Class 1	-2.329043603	3.10345E-05	25376.13043	32827.86667	Peripheral	31.49787608	93.70458204
Q8N3Z3	GTPBP8	-	Unknown	1										9.560955605	NaN	Class 1	-1.303450964	0.001464668	39656.77453	24481.53333	Peripheral	35.49541105	90.5279628
Q16774	GUK1	-	Nucleotide/ nucleoside metabolism	1										NaN	NaN	Class 2	-1.7812418	0.031100818	75693.57224	146540.4333	Peripheral	10.79087647	89.7842063
Q16775;Q16775	HAGH	-	Other known processes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9BSH5	HDHD3	-	Unknown	1										104.0123223	206.4332482	Class 1	-2.670428927	4.85329E-05	128460.5026	109064.9667	Peripheral	5.889573093	95.09629508
Q9BXW7	HDHD5	-	Unknown	1										134.1651862	202.2081296	Class 1	-1.144122313	0.000294268	555285.9903	1356059.333	Peripheral	26.40164594	91.91231394
Q9NRV9	HEBP1	-	Other known processes	1										365.1570491	NaN	Class 4	-0.661224875	0.072812433	75028.66361	401159.6667	Soluble	7.410581357	45.25243159
Q9Y5R4	HEMK1	-	Ribosome assembly & translation	1										NaN	NaN	Class 1	-1.947226463	0.0020835	2447.964037	NaN	Peripheral	27.22436477	72.5314407
P31937	HIBADH	-	Amino acid metabolism	1										139.0893866	NaN	Class 3	-0.615949895	0.005205697	508210.9689	405439.6667	Soluble	9.965413911	14.31373801
Q9Y241	HIGD1A	-	Cell death/ apoptosis	1										51.79781833	NaN	Class 1	-2.430294457	1.07464E-05	675393.3189	522406.6667	Integral	98.13737703	92.02006574
Q9BW72	HIGD2A	-	Cell death/ apoptosis	1										21.88280191	34.55920114	Class 1	-2.332602859	0.00017991	166842.6303	95419.43333	Integral	98.12467737	93.69109929
Q9BX68	HINT2	-	Lipid metabolism	1										169.2414543	127.3104147	Class 1	-1.405477514	0.000807089	466822.6813	611625	Peripheral	3.771893173	77.62777418
Q9NQE9	HINT3	-	Other known processes	1										65.90472221	48.30236677	Class 3	-0.406867332	0.006641792	42159.70926	168268.0333	Peripheral	17.18759258	87.89469448
Q92506	HSD17B8	-	Lipid metabolism	1										1683.494514	63.11057947	Class 1	-1.542993248	0.000142439	106864.7123	73861.56667	Peripheral	6.607968629	59.40604247
Q3SXM5	HSDL1	-	Unknown	1										83.52865155	98.65318612	Class 3	-0.652137014	0.003259335	70776.16949	53065.2	Integral	91.79942216	96.80461879
Q6YN16	HSDL2	-	Unknown	1										111.3074791	338.0358469	Class 1	-1.764417069	0.000397441	211783.8297	343577.6667	Peripheral	7.096377403	92.4138255
P86397	HTD2	-	Lipid metabolism	1										138.4883486	NaN	Class 1	-2.658051861	0.000158465	8568.54673	NaN	0	11.87041525	NaN
P14735	IDE	-	Regulation & signaling	1										117.5816109	174.3526782	Class 1	-1.963135455	0.000120222	23907.86866	521011	Peripheral	15.34555438	66.64816906
P51553	IDH3G	-	TCA cycle	1										61.78629172	NaN	Class 1	-1.311772551	0.000712297	431288.7977	297350	Peripheral	10.18249283	49.92109195
P40305	IFI27	-	Cell death/ apoptosis	1										NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
Q9H2X8	IFI27L2	-	Cell death/ apoptosis	1										NaN	NaN	NaN	NaN	NaN	1188.632418	NaN	0	NaN	NaN
Q96LU5	IMMP1L	-	Protein maturation & folding	1										Infinite	NaN	Class 4	-0.965796961	0.056848983	3045.654186	19801.79667	0	NaN	NaN
K7EKW4;K7ENV7;Q96AB3	ISOC2	-	Other known processes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O15229	KMO	-	Amino acid metabolism	1										NaN	NaN	Class 4	0.749698666	0.311258838	NaN	NaN	0	NaN	NaN
Q6YP21	KYAT3	-	Amino acid metabolism	1										NaN	125.8776215	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
P83111	LACTB	-	Protein degradation & quality control	1										538.7666208	334.5882457	Class 4	-0.420245101	0.016492901	43589.23547	56343.06667	Peripheral	27.43539424	75.57692193
Q53H82	LACTB2	-	RNA-related processes	1										Infinite	582.434515	Class 1	-1.796102322	0.00074214	66130.40782	251842.3333	Soluble	4.672813153	39.78238369
P28838	LAP3	-	Protein maturation & folding	1										NaN	277.9829203	NaN	NaN	NaN	379428.3093	NaN	0	NaN	NaN
Q86WU2	LDHD	-	Unknown	1										NaN	NaN	Class 1	-1.971901747	3.38248E-05	335.7853804	NaN	Peripheral	20.27473356	73.25865327
O95202	LETM1	-	"Carriers, channels & transporters"	1										166.4431861	286.9354442	Class 1	-1.512852957	0.000163353	419399.2798	464403	Integral	94.82128974	96.52962496
Q2VYF4	LETM2	-	Unknown	1										NaN	NaN	NaN	NaN	NaN	3088.126046	11551.97667	0	89.75177207	NaN
Q6P1Q0	LETMD1	-	Regulation & signaling	1										99.59063711	NaN	Class 1	-2.221170715	8.73659E-05	82035.46113	52895.5	Integral	93.01170393	92.13324325
O43325	LYRM1	-	Cell death/ apoptosis	1										NaN	NaN	Class 4	-2.378262051	0.084214301	29915.52281	31878.75333	Peripheral	8.979154778	79.74252774
Q9NU23	LYRM2	-	Unknown	1										80.32250307	56.26162465	Class 2	-1.528230116	0.020446573	174822.4885	112154.1	Peripheral	7.261376788	83.66622813
Q9BQ69	MACROD1	-	Regulation & signaling	1										75.40842808	84.58461008	Class 3	-0.835407159	0.001636346	128135.3621	133910.8333	Peripheral	10.99806149	93.50275713
Q8WWC4	MAIP1	-	Protein maturation & folding	1										109.8028329	NaN	Class 1	-0.951852781	0.001414858	103546.2579	71635.7	Peripheral	38.70381997	96.31175953
Q96EH3	MALSU1	-	Ribosome assembly & translation	1										20.52637336	23.70403773	Class 1	-2.163149387	3.91132E-06	20566.89884	21578.78333	Peripheral	7.703890775	80.63407342
P27338	MAOB	-	Other known processes	1										NaN	390.030266	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
Q5VT66	MARC1	-	Other known processes	1										14.971625	NaN	Class 1	-1.257277641	0.001417687	100383.5922	130479.0667	Integral	96.63887243	92.4095185
Q969Z3	MARC2	-	Other known processes	1										30.37629384	84.99806888	Class 1	-0.934751816	0.000279321	154001.2692	95889.03333	0	NaN	91.39091198
Q9NX47	MARCH5	-	"Morphology, dynamics & organization"	1										35.95611936	23.35699963	Class 3	-0.706420782	0.002091777	122338.6043	145504	Integral	93.85116713	96.62147388
Q7Z434	MAVS	-	Regulation & signaling	1										56.21168047	182.8615775	Class 4	-0.529013699	0.008408659	56395.69898	104994.5	Peripheral	17.92758784	60.14116514
P59942	MCCD1	-	Unknown	1										NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
Q07820	MCL1	-	Cell death/ apoptosis	1										NaN	NaN	Class 4	-0.190745562	0.393524092	14331.13533	16618.33333	0	NaN	NaN
Q8NE86	MCU	-	"Carriers, channels & transporters"	1										250.1866213	195.2241814	Class 1	-0.948133076	0.001706446	290538.8784	241047	Integral	77.27714442	97.23901491
Q9NWR8	MCUB	-	Regulation & signaling	1										NaN	NaN	Class 1	-1.259123489	0.000622667	39662.47277	28350.83333	Integral	76.06769785	95.86166961
Q96AQ8	MCUR1	-	"Carriers, channels & transporters"	1										103.7514981	NaN	Class 1	-0.965718582	0.00030531	57321.6744	125953.8	Integral	91.38129944	95.93940621
P23368	ME2	-	TCA cycle	1										111.9863902	NaN	Class 1	-1.670741309	0.000113665	723195.49	672905.6667	Soluble	4.345481336	37.52074522
Q16798	ME3	-	Carbohydrate & energy metabolism	1										496.2910291	NaN	Class 1	-2.485934161	8.63225E-05	NaN	NaN	0	NaN	NaN
Q6UB28	METAP1D	-	Protein maturation & folding	1										Infinite	86.47871039	Class 1	-2.002274982	0.000833829	10421.74392	8229.156667	Peripheral	7.488360388	88.97681154
A6NJ78	METTL15	-	Unknown	1										19.37619059	NaN	Class 1	-2.399050271	5.99372E-05	51251.47494	38045.16667	Peripheral	14.68723107	85.60589835
Q9H7H0;Q9H7H0	METTL17	-	Unknown	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
B3KW44;E7ETE0	METTL8	-	Unknown	1										NaN	NaN	Class 1	-2.142833727	0.000124245	4342.328701	5433.795	Peripheral	13.52760782	90.00620401
Q8IWA4	MFN1	-	"Morphology, dynamics & organization"	1										8.249331395	NaN	Class 4	-0.4202376	0.018670349	39395.79593	36159.5	Integral	89.69692313	97.10143198
Q8TDB4	MGARP	-	"Morphology, dynamics & organization"	1										NaN	NaN	NaN	NaN	NaN	7811.416547	8709.85	Ambiguous	57.32960462	59.16302061
O14880	MGST3	-	Oxidative stress response	1										108.0606538	NaN	Class 4	-0.398694595	0.012985184	173561.0487	167789.7333	Integral	92.77198181	95.70776502
Q8N4Q1	MIA40	-	Protein import & biogenesis	1										NaN	2372.351421	Class 4	-0.290148634	0.071473165	192140.0767	397676	Soluble	4.228721117	24.50252716
Q5TGZ0	MIC10	-	"Morphology, dynamics & organization"	1										87.4472033	NaN	Class 1	-1.578238043	0.001607824	147309.9271	514029.8	0	NaN	NaN
C9JRZ6;Q9NX63	MIC19	-	"Morphology, dynamics & organization"	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9BRQ6	MIC25	-	"Morphology, dynamics & organization"	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
Q6UXV4	MIC27	-	"Morphology, dynamics & organization"	1										143.6193476	NaN	Class 1	-1.791184892	0.000211722	86868.40021	57788.3	Integral	86.76693984	91.6130234
B9A067;C9J406;Q16891	MIC60	-	"Morphology, dynamics & organization"	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q86XE3	MICU3	-	"Carriers, channels & transporters"	1										NaN	NaN	Class 4	0.439987984	0.78016562	1140.707167	2048.285	Ambiguous	44.56886373	80.99965865
A0A2R8YF99;A0A2R8YE40;A0A2R8YFQ8;Q8NAN2	MIGA1	-	"Morphology, dynamics & organization"	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8N5G0	MITRAC7	-	OXPHOS assembly & stability	1										237.7604353	121.5166836	Class 2	-1.903604422	0.040190364	62238.42775	80319.15	0	NaN	84.62141471
O95563	MPC2	-	"Carriers, channels & transporters"	1										45.88330501	NaN	Class 1	-1.397952905	0.000190402	447865.7661	380147	Integral	97.04993562	95.38148804
P29372	MPG	-	DNA-related processes	1										21.04090532	NaN	Class 4	-0.60321791	0.036934486	764.8864327	190816.6667	0	26.62896444	NaN
P25325	MPST	-	Other known processes	1										NaN	NaN	NaN	NaN	NaN	NaN	510050	0	NaN	NaN
Q567V2	MPV17L2	-	Ribosome assembly & translation	1										32.67371761	20.50214515	Class 1	-1.09001433	0.000736938	17091.12173	19507.66667	Ambiguous	82.64893283	76.1674454
Q6IN84	MRM1	-	RNA-related processes	1										154.7822024	133.0734812	Class 1	-1.998021199	0.000107424	29091.20439	23271.53333	Peripheral	16.69471698	90.11638955
Q9HC36	MRM3	-	RNA-related processes	1										38.48231339	NaN	Class 1	-2.057358857	6.85719E-05	275105.0663	193438.6667	Peripheral	4.821610696	83.40554241
Q9BYD6	MRPL1	-	Mitochondrial ribosomes	1										1023.637312	NaN	Class 1	-2.49033477	6.26038E-05	329152.433	324320.3333	Peripheral	3.471384905	77.98114576
Q7Z7H8	MRPL10	-	Mitochondrial ribosomes	1										72.74955827	261.1763404	Class 1	-1.722315157	0.000132723	279917.9533	231975	Peripheral	30.40977354	88.66175388
Q9Y3B7	MRPL11	-	Mitochondrial ribosomes	1										57.49421199	21.22581268	Class 1	-2.495993194	9.93213E-05	1044220.505	701378.3333	Peripheral	22.92965631	81.94932872
Q9BYD1	MRPL13	-	Mitochondrial ribosomes	1										74.51568809	NaN	Class 1	-2.570915281	4.00509E-05	490513.8791	608466.3333	Peripheral	13.0795172	78.93704702
Q6P1L8	MRPL14	-	Mitochondrial ribosomes	1										35.89918378	70.93566138	Class 1	-2.422611876	0.000151675	357822.5368	257395.6667	Peripheral	8.425162501	73.8990095
Q9P015	MRPL15	-	Mitochondrial ribosomes	1										73.22720536	NaN	Class 1	-2.061417195	0.000118374	511105.0029	429557.6667	Ambiguous	61.20413916	79.45600263
Q9NX20	MRPL16	-	Mitochondrial ribosomes	1										69.59289536	81.53177681	Class 1	-2.34477962	0.000101489	339549.6034	275075.6667	Peripheral	12.25850678	84.51922818
E9PKV2;Q9NRX2	MRPL17	-	Mitochondrial ribosomes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H0U6	MRPL18	-	Mitochondrial ribosomes	1										98.37899501	88.0125236	Class 1	-2.103274898	1.29007E-05	269374.1424	335115.6667	Peripheral	27.51907775	73.76414867
P49406	MRPL19	-	Mitochondrial ribosomes	1										46.0984211	NaN	Class 1	-2.522887482	5.67934E-05	464170.3205	464280	Peripheral	3.85376551	83.7911276
Q5T653	MRPL2	-	Mitochondrial ribosomes	1										75.20597028	NaN	Class 1	-2.44565498	0.000195659	267867.8623	228455.3333	Ambiguous	63.11879936	69.17797244
Q9BYC9	MRPL20	-	Mitochondrial ribosomes	1										147.1473818	100.8999669	Class 1	-1.768547999	9.65054E-05	359017.7825	416562	Ambiguous	49.07102531	82.91226394
Q7Z2W9	MRPL21	-	Mitochondrial ribosomes	1										217.947042	NaN	Class 1	-2.127180875	0.000104582	308278.5136	417911.3333	Ambiguous	59.15904731	75.8412555
Q9NWU5	MRPL22	-	Mitochondrial ribosomes	1										44.64731916	NaN	Class 1	-2.380237784	8.89029E-05	310780.4033	262186	Peripheral	7.998713705	76.58597371
Q16540	MRPL23	-	Mitochondrial ribosomes	1										69.29848376	NaN	Class 1	-2.717627948	0.000245146	198330.9044	228326	Ambiguous	58.01996091	79.80868041
Q9P0M9	MRPL27	-	Mitochondrial ribosomes	1										119.329361	NaN	Class 1	-2.396042042	5.73523E-05	370770.7799	486145.3333	Peripheral	5.773888099	76.39153529
Q13084;Q4TT37	MRPL28	-	Mitochondrial ribosomes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8TCC3	MRPL30	-	Mitochondrial ribosomes	1										62.78543497	NaN	Class 1	-2.518814749	9.10277E-06	75544.71316	70765.1	Peripheral	6.67797953	92.89103489
Q9BYC8	MRPL32	-	Mitochondrial ribosomes	1										69.63138269	57.45979619	Class 1	-2.326257484	8.01897E-06	223759.7816	187241	Peripheral	2.606934968	81.72162398
O75394	MRPL33	-	Mitochondrial ribosomes	1										23.57215451	61.07273743	Class 1	-2.458477391	0.000187243	394879.4561	385890.6667	Peripheral	7.065805712	84.69044222
Q9BQ48	MRPL34	-	Mitochondrial ribosomes	1										35.93398199	NaN	Class 1	-2.307573314	0.000146723	141127.9037	57564.1	Ambiguous	69.00713197	77.14492643
Q9NZE8	MRPL35	-	Mitochondrial ribosomes	1										214.9924407	29.34651318	Class 1	-2.392740218	7.51636E-05	125013.0258	78010.36667	0	NaN	75.14255632
Q9P0J6	MRPL36	-	Mitochondrial ribosomes	1										NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
A6NHR2;H0Y4J2;S4R369;Q9BZE1	MRPL37	-	Mitochondrial ribosomes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q96DV4	MRPL38	-	Mitochondrial ribosomes	1										131.6631099	82.65406712	Class 1	-2.121355615	5.15848E-05	256531.2212	300633	Peripheral	12.07680764	69.93843306
Q9NYK5	MRPL39	-	Mitochondrial ribosomes	1										61.16279076	NaN	Class 1	-1.379661198	0.000220287	506173.9102	477730.3333	Peripheral	5.09152578	77.52644886
Q9BYD3	MRPL4	-	Mitochondrial ribosomes	1										78.62885324	NaN	Class 1	-2.170699567	8.7324E-05	417990.9382	356238.6667	Ambiguous	64.30473281	79.50801062
Q9NQ50	MRPL40	-	Mitochondrial ribosomes	1										51.73105352	61.40752413	Class 1	-2.040016186	4.41513E-05	367373.7554	222498.3333	Peripheral	4.185756158	72.36113853
Q8IXM3	MRPL41	-	Mitochondrial ribosomes	1										60.66965414	47.07428116	Class 1	-2.858424252	4.80593E-05	787974.6293	801695	Ambiguous	41.90103787	81.96440561
Q9Y6G3	MRPL42	-	Mitochondrial ribosomes	1										184.2367783	NaN	Class 1	-1.966915304	0.000129952	108636.1357	81165.7	Ambiguous	44.63226616	84.44228985
Q8N983;Q8N983;Q8N983	MRPL43	-	Mitochondrial ribosomes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9BRJ2	MRPL45	-	Mitochondrial ribosomes	1										51.5536672	NaN	Class 1	-2.298603195	5.85217E-05	229616.4629	213636.3333	Peripheral	11.2931641	77.06291138
Q9H2W6	MRPL46	-	Mitochondrial ribosomes	1										134.0580965	176.140357	Class 1	-1.825373153	9.62209E-05	284008.6378	269514.3333	Peripheral	3.798975528	80.80083687
Q9HD33	MRPL47	-	Mitochondrial ribosomes	1										65.69111322	59.05627004	Class 1	-2.423149796	5.03375E-05	469291.7827	381939	Ambiguous	47.14947582	77.71960036
Q96GC5	MRPL48	-	Mitochondrial ribosomes	1										72.45745974	NaN	Class 1	-2.281200818	9.47631E-05	409927.6156	321809.3333	Peripheral	3.815221528	82.0876555
Q13405	MRPL49	-	Mitochondrial ribosomes	1										171.2195785	NaN	Class 1	-2.25951901	5.90875E-05	221086.157	238353	Ambiguous	45.81327176	74.80158546
Q8N5N7	MRPL50	-	Mitochondrial ribosomes	1										85.99902004	118.3155384	Class 1	-1.589932917	0.000168475	510647.0286	381714.3333	Ambiguous	63.36930385	77.89098413
A0A087WU28;A0A0B4J2C1;Q4U2R6	MRPL51	-	Mitochondrial ribosomes	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q86TS9	MRPL52	-	Mitochondrial ribosomes	1										79.15414707	NaN	Class 1	-2.072657285	0.00033242	9480.314842	34626.6	Peripheral	10.06332722	75.27674018
Q96EL3	MRPL53	-	Mitochondrial ribosomes	1										44.88224666	153.5860331	Class 1	-2.120462343	1.21704E-05	775318.3716	435666.3333	Peripheral	19.39745332	80.83048686
Q6P161	MRPL54	-	Mitochondrial ribosomes	1										49.05885446	54.6328621	Class 1	-2.662297964	0.000237407	235181.9319	256064.9333	Peripheral	3.090788641	62.94192488
Q7Z7F7	MRPL55	-	Mitochondrial ribosomes	1										82.24208458	NaN	Class 1	-2.313780681	0.007246488	219497.2134	193222.3333	Soluble	7.206420761	42.48681145
Q9BQC6	MRPL57	-	Mitochondrial ribosomes	1										85.89339847	NaN	Class 1	-2.502922806	0.000253344	145121.12	79479.6	Ambiguous	37.64259031	78.40425992
Q14197	MRPL58	-	Mitochondrial ribosomes	1										74.15508638	NaN	Class 1	-2.290317027	8.07994E-05	211478.145	164580.3333	Peripheral	4.356455319	77.249078
Q8TAE8	MRPL59	-	Mitochondrial ribosomes	1										60.92248986	57.2411692	Class 1	-2.313278323	3.24602E-05	351183.8345	255673	Peripheral	6.168987468	72.27162619
Q9BYD2	MRPL9	-	Mitochondrial ribosomes	1										86.19462886	NaN	Class 1	-2.570132643	0.000115765	320981.6246	424559.6667	Peripheral	12.75074136	80.5031862
O15091	MRPP3	-	tRNA related processes	1										16.93743995	30.88298737	Class 1	-1.481461114	6.29077E-05	51275.64128	45140.13333	Peripheral	16.16247829	88.67540161
P82664	MRPS10	-	Mitochondrial ribosomes	1										36.66255817	80.27005494	Class 1	-2.072385035	6.42086E-05	208733.5062	221951.3333	Peripheral	31.76646398	87.13887915
P82912	MRPS11	-	Mitochondrial ribosomes	1										67.23276833	NaN	Class 1	-2.908252148	9.19069E-05	195505.9736	206869.6667	Peripheral	5.531358622	86.44804707
O15235	MRPS12	-	Mitochondrial ribosomes	1										43.13874295	133.9797585	Class 1	-3.083493623	2.49158E-05	267876.9147	126421.8667	Peripheral	8.055180955	72.6097652
P82914	MRPS15	-	Mitochondrial ribosomes	1										42.2504645	120.4662418	Class 1	-2.978295796	6.33908E-05	296447.8035	428803.6667	Peripheral	12.2634226	86.42817456
Q9Y2R5	MRPS17	-	Mitochondrial ribosomes	1										135.082614	NaN	Class 1	-3.065421693	1.96168E-05	556689.0797	733370	Peripheral	26.07090226	82.36501799
Q9NVS2	MRPS18A	-	Mitochondrial ribosomes	1										82.41495537	NaN	Class 1	-2.389002968	6.53657E-05	279534.3995	171536	Peripheral	17.64364819	79.74391907
Q9Y676	MRPS18B	-	Mitochondrial ribosomes	1										45.78149452	NaN	Class 1	-2.748952777	2.06077E-05	281169.2799	307380.6667	Peripheral	30.28393774	83.99488956
Q9Y3D5	MRPS18C	-	Mitochondrial ribosomes	1										102.7722565	NaN	Class 1	-3.006691862	6.62391E-06	96768.88099	86620.1	Peripheral	11.89548905	96.99317177
P82921	MRPS21	-	Mitochondrial ribosomes	1										85.55843492	262.2540407	Class 1	-3.147050641	0.000527999	304218.12	425009.6667	Peripheral	38.28309713	84.35950755
Q96EL2	MRPS24	-	Mitochondrial ribosomes	1										92.38323911	78.5453847	Class 1	-2.447949184	6.41721E-05	274693.1801	432533.3333	Peripheral	38.3920597	89.71806396
Q9BYN8	MRPS26	-	Mitochondrial ribosomes	1										91.87550651	80.7386681	Class 1	-2.680934324	2.39552E-05	334844.9853	303842.6667	Peripheral	25.81137617	85.79673941
Q92552	MRPS27	-	Mitochondrial ribosomes	1										28.04708415	NaN	Class 1	-1.624931883	0.000124492	484562.2663	392336	Peripheral	9.858778116	88.65753346
P51398	MRPS29	-	Mitochondrial ribosomes	1										64.42377817	NaN	Class 1	-1.953490379	6.66675E-05	795741.6267	662859.6667	Peripheral	15.9061524	88.71864207
Q9NP92	MRPS30	-	Mitochondrial ribosomes	1										64.40155269	84.08093989	Class 1	-1.677197734	5.13861E-05	130194.9955	114827.0333	Peripheral	16.2095865	73.24908519
Q92665	MRPS31	-	Mitochondrial ribosomes	1										238.3746943	117.4852088	Class 1	-2.399702347	5.84311E-05	344633.4478	304612.3333	Peripheral	33.34037087	80.83816823
Q9Y291	MRPS33	-	Mitochondrial ribosomes	1										88.04168803	NaN	Class 1	-3.166338947	8.93073E-06	407708.5378	506476.6667	Peripheral	39.99435884	85.94279473
P82673	MRPS35	-	Mitochondrial ribosomes	1										31.11000291	43.49106728	Class 1	-2.122966121	7.65409E-05	270416.3168	258752.6667	Peripheral	30.96831713	88.62368594
P82909	MRPS36	-	Mitochondrial ribosomes	1										36.67159963	48.58804489	Class 3	-0.868198003	0.000349787	485151.6274	497881.6667	Peripheral	16.25140438	72.61618164
Q96BP2	MRPS37	-	Mitochondrial ribosomes	1										11.51348556	NaN	Class 1	-2.484207121	5.02665E-05	193281.9768	252746.6667	Ambiguous	13.58407046	51.86503349
Q9NWT8	MRPS38	-	Mitochondrial ribosomes	1										17.40035985	46.70177436	Class 1	-2.561682232	0.000129676	33636.19748	39352.41	0	NaN	70.04412812
P82675	MRPS5	-	Mitochondrial ribosomes	1										78.12538245	122.5728924	Class 1	-2.661997912	1.76948E-05	314522.6724	271639.6667	Peripheral	41.23172169	87.6631861
P82932	MRPS6	-	Mitochondrial ribosomes	1										72.7999373	257.628263	Class 1	-2.872348477	1.17794E-05	693096.1707	670814.3333	Peripheral	25.94663322	87.00149554
P82933	MRPS9	-	Mitochondrial ribosomes	1										95.54112298	128.4495694	Class 1	-2.083342216	0.000111115	350501.4416	273768	Peripheral	35.27272637	89.08169678
Q96E11	MRRF	-	Ribosome assembly & translation	1										96.79504292	161.8416842	Class 1	-2.687496495	0.000105872	194085.5984	273783.6667	Peripheral	6.55956287	72.76144331
Q9HD23	MRS2	-	"Carriers, channels & transporters"	1										566.2844055	NaN	Class 1	-1.210271587	0.000535697	43890.02909	28152.56667	0	NaN	97.48111125
Q9UJ68	MSRA	-	Oxidative stress response	1										NaN	NaN	Class 2	-1.615016787	0.044279163	NaN	NaN	0	NaN	NaN
Q9Y3D2	MSRB2	-	Oxidative stress response	1										26.4633627	32.94778812	Class 4	-0.337841402	0.123626873	98870.23212	29389.2	Peripheral	8.374811369	78.30747602
Q9NZJ7	MTCH1	-	"Carriers, channels & transporters"	1										194.3167176	147.9301508	Class 4	-0.140152172	0.114980776	227410.2839	159565.6333	Integral	95.6765089	94.53115324
E9PIE4;Q9Y6C9	MTCH2	-	"Carriers, channels & transporters"	1										NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q99551	MTERF1	-	DNA-related processes	1										NaN	NaN	Class 1	-2.398000528	0.000262493	13016.96861	16665.58667	Peripheral	9.597816682	85.35689637
Q49AM1	MTERF2	-	DNA-related processes	1										NaN	NaN	Class 4	-1.06394123	0.49438298	9505.560158	5975.41	Peripheral	12.7858286	90.35415965
Q96E29	MTERF3	-	DNA-related processes	1										16.80575211	NaN	Class 1	-1.920506727	3.29383E-05	96515.58304	60835.43333	Peripheral	11.10678009	94.2576928
